Daniel,MaisOuMenos,GuilhermePassos3,Cascalho,MaxRep,CorreVento,FlavioCCoelho,Cecilia2,Valentim2,Vivis3,wd1,Victor,Fernanda,popst,LeonardoPinheiro,KatnissEverdin,jefferson,AraraClayton,LeoRodrigues,Vitoria,Arthur2,LuisEduardo,Eliane2,GuilhermeBarros,Otto2,Adriano2,Arthur,JoaoHonesto,Gabrielp,Pedro01,Eliane,Gabriel,Souza,Valentim,Pedro02,Adriano1,AleaJactaEst,leondiniz,rafaelmesq,GuilhermePassos,Oda,GuilhermePassos2,AntonioPulcherio,MediaAna,Otto,Adriano3,Cecilia1,Luciene,FlavioCoelho,Medusa,jefferson2
0.3381818181818182,0.5036363636363637,0.39090909090909093,0.6436363636363637,0.2509090909090909,0.4890909090909091,1.0,0.509090909090909,0.5290909090909091,0.5363636363636364,1.0,0.0,0.29454545454545455,0.9381818181818182,0.3890909090909091,0.8418181818181818,0.5290909090909091,0.5381818181818182,0.9090909090909091,0.5363636363636364,0.44181818181818183,0.8763636363636363,0.8745454545454545,0.2818181818181818,1.0,0.32,0.4618181818181818,0.4781818181818182,0.5618181818181818,0.49272727272727274,0.09818181818181818,0.5618181818181818,0.9163636363636364,1.0,0.2727272727272727,0.4381818181818182,0.8236363636363636,0.5745454545454546,0.0,0.37636363636363634,[0.59090909],0.5636363636363636,0.610909090909091,0.5581818181818182,1.0,0.4,0.1290909090909091,0.7527272727272727,0.0,0.4127272727272727,0.4618181818181818
0.3333333333333333,0.51,0.38166666666666665,0.6516666666666666,0.23833333333333334,0.48,1.0,0.5083333333333333,0.5333333333333333,0.5383333333333333,1.0,0.0,0.295,0.9366666666666666,0.37666666666666665,0.83,0.5333333333333333,0.5433333333333333,0.9166666666666666,0.5416666666666666,0.425,0.8716666666666667,0.875,0.285,1.0,0.3416666666666667,0.4633333333333333,0.4866666666666667,0.5716666666666667,0.49666666666666665,0.095,0.5716666666666667,0.8483333333333334,1.0,0.27166666666666667,0.45666666666666667,0.8166666666666667,0.5816666666666667,0.0,0.36,[0.58666667],0.545,0.62,0.5633333333333334,1.0,0.40166666666666667,0.12833333333333333,0.7533333333333333,0.0,0.4116666666666667,0.4583333333333333
0.3230769230769231,0.5153846153846153,0.37384615384615383,0.6553846153846153,0.2276923076923077,0.4723076923076923,1.0,0.5076923076923077,0.5323076923076923,0.54,1.0,0.0,0.2953846153846154,0.9307692307692308,0.36615384615384616,0.8215384615384616,0.5323076923076923,0.5492307692307692,0.9230769230769231,0.54,0.4276923076923077,0.8692307692307693,0.8753846153846154,0.27692307692307694,1.0,0.36,0.45692307692307693,0.4876923076923077,0.5815384615384616,0.5015384615384615,0.09230769230769231,0.5815384615384616,0.7892307692307692,1.0,0.27076923076923076,0.4338461538461538,0.82,0.5892307692307692,0.0,0.34923076923076923,[0.58461538],0.5307692307692308,0.6169230769230769,0.5676923076923077,1.0,0.4046153846153846,0.12615384615384614,0.7538461538461538,0.0,0.4153846153846154,0.4584615384615385
0.3171428571428571,0.5214285714285715,0.36714285714285716,0.6571428571428571,0.21857142857142858,0.4642857142857143,1.0,0.5071428571428571,0.5328571428571428,0.5414285714285715,1.0,0.0,0.29714285714285715,0.9285714285714286,0.3557142857142857,0.8142857142857143,0.5328571428571428,0.5485714285714286,0.9285714285714286,0.5414285714285715,0.4185714285714286,0.8657142857142858,0.8757142857142857,0.2714285714285714,1.0,0.3342857142857143,0.4514285714285714,0.48714285714285716,0.5914285714285714,0.49857142857142855,0.09142857142857143,0.5914285714285714,0.7442857142857143,1.0,0.28285714285714286,0.45,0.8228571428571428,0.5957142857142858,0.0,0.3414285714285714,[0.58],0.52,0.6257142857142857,0.5757142857142857,1.0,0.4057142857142857,0.12428571428571429,0.7557142857142857,0.0,0.41714285714285715,0.4585714285714286
0.31066666666666665,0.5266666666666666,0.36133333333333334,0.6586666666666666,0.21066666666666667,0.4706666666666667,1.0,0.5066666666666667,0.5333333333333333,0.5426666666666666,1.0,0.0,0.2986666666666667,0.9306666666666666,0.3466666666666667,0.808,0.5333333333333333,0.552,0.9333333333333333,0.532,0.42,0.8626666666666667,0.876,0.268,1.0,0.352,0.44666666666666666,0.49333333333333335,0.6,0.504,0.09066666666666667,0.6,0.708,1.0,0.29733333333333334,0.464,0.8213333333333334,0.6013333333333334,0.0,0.33466666666666667,[0.576],0.5106666666666667,0.636,0.5666666666666667,1.0,0.4093333333333333,0.12266666666666666,0.7573333333333333,0.0,0.42,0.45866666666666667
0.3075,0.53125,0.35625,0.6625,0.20375,0.46875,1.0,0.50625,0.535,0.54375,1.0,0.0,0.30125,0.9275,0.33875,0.8025,0.535,0.55,0.9375,0.52875,0.41625,0.86,0.87625,0.2675,1.0,0.33,0.44375,0.49875,0.6075,0.505,0.09125,0.6075,0.67125,1.0,0.3075,0.44375,0.8175,0.60625,0.0,0.3275,[0.5725],0.50375,0.63625,0.56125,1.0,0.41125,0.12125,0.75875,0.0,0.42125,0.4575
0.30117647058823527,0.5376470588235294,0.3517647058823529,0.6647058823529411,0.1976470588235294,0.47058823529411764,1.0,0.5058823529411764,0.5352941176470588,0.548235294117647,1.0,0.0,0.3035294117647059,0.9305882352941176,0.33176470588235296,0.7976470588235294,0.5352941176470588,0.548235294117647,0.9411764705882353,0.5305882352941177,0.4117647058823529,0.8576470588235294,0.8764705882352941,0.27058823529411763,1.0,0.34823529411764703,0.4447058823529412,0.4988235294117647,0.6141176470588235,0.5152941176470588,0.09411764705882353,0.6141176470588235,0.6376470588235295,1.0,0.3164705882352941,0.45647058823529413,0.808235294117647,0.6129411764705882,0.0,0.3211764705882353,[0.56823529],0.4988235294117647,0.64,0.5623529411764706,1.0,0.41294117647058826,0.12,0.76,0.0,0.42470588235294116,0.4588235294117647
0.29888888888888887,0.5444444444444444,0.3488888888888889,0.6644444444444444,0.1922222222222222,0.47333333333333333,1.0,0.5055555555555555,0.5344444444444445,0.5522222222222222,1.0,0.0,0.30444444444444446,0.9266666666666666,0.3244444444444444,0.7933333333333333,0.5344444444444445,0.55,0.9444444444444444,0.5311111111111111,0.4122222222222222,0.8533333333333334,0.8766666666666667,0.2644444444444444,1.0,0.3655555555555556,0.44333333333333336,0.49666666666666665,0.62,0.5122222222222222,0.09777777777777778,0.62,0.61,1.0,0.32222222222222224,0.44,0.8111111111111111,0.6188888888888889,0.0,0.31777777777777777,[0.56],0.49,0.6455555555555555,0.5733333333333334,1.0,0.4177777777777778,0.11888888888888889,0.7622222222222222,0.0,0.4288888888888889,0.46111111111111114
0.3357894736842105,0.5494736842105263,0.3463157894736842,0.6631578947368421,0.18736842105263157,0.4747368421052632,1.0,0.5052631578947369,0.5336842105263158,0.5547368421052632,1.0,0.0,0.30526315789473685,0.9284210526315789,0.3178947368421053,0.7894736842105263,0.5336842105263158,0.5515789473684211,0.9473684210526315,0.5357894736842105,0.41789473684210526,0.8505263157894737,0.8768421052631579,0.26210526315789473,1.0,0.3463157894736842,0.44526315789473686,0.5021052631578947,0.6252631578947369,0.5063157894736842,0.10105263157894737,0.6252631578947369,0.5810526315789474,1.0,0.3273684210526316,0.45263157894736844,0.8136842105263158,0.6231578947368421,0.0,0.31473684210526315,[0.56105263],0.48526315789473684,0.6505263157894737,0.5726315789473684,1.0,0.42,0.11789473684210526,0.7642105263157895,0.0,0.4305263157894737,0.4631578947368421
0.332,0.555,0.345,0.665,0.183,0.474,1.0,0.505,0.532,0.558,1.0,0.0,0.307,0.928,0.312,0.786,0.532,0.555,0.95,0.541,0.421,0.848,0.876,0.256,1.0,0.362,0.445,0.51,0.63,0.506,0.103,0.63,0.602,1.0,0.334,0.437,0.812,0.628,0.0,0.312,[0.559],0.478,0.655,0.57,1.0,0.423,0.117,0.766,0.0,0.432,0.464
0.32761904761904764,0.56,0.3438095238095238,0.6676190476190477,0.17904761904761904,0.4723809523809524,1.0,0.5047619047619047,0.5314285714285715,0.560952380952381,1.0,0.0,0.30857142857142855,0.9285714285714286,0.30666666666666664,0.7838095238095238,0.5314285714285715,0.5580952380952381,0.9523809523809523,0.5419047619047619,0.4247619047619048,0.8466666666666667,0.8752380952380953,0.25333333333333335,1.0,0.34476190476190477,0.44,0.5123809523809524,0.6342857142857142,0.4980952380952381,0.10571428571428572,0.6342857142857142,0.6209523809523809,1.0,0.3419047619047619,0.44857142857142857,0.8114285714285714,0.6323809523809524,0.0,0.31047619047619046,[0.55904762],0.47333333333333333,0.6561904761904762,0.5647619047619048,1.0,0.4257142857142857,0.11619047619047619,0.7676190476190476,0.0,0.4342857142857143,0.46476190476190476
0.3236363636363636,0.5645454545454546,0.3427272727272727,0.6709090909090909,0.17545454545454545,0.47,1.0,0.5045454545454545,0.5309090909090909,0.5636363636363636,1.0,0.0,0.3090909090909091,0.9254545454545454,0.3018181818181818,0.7818181818181819,0.5309090909090909,0.5563636363636364,0.9545454545454546,0.5409090909090909,0.42454545454545456,0.8445454545454546,0.8745454545454545,0.25636363636363635,1.0,0.35909090909090907,0.43636363636363634,0.5109090909090909,0.6381818181818182,0.49727272727272726,0.10818181818181818,0.6381818181818182,0.6381818181818182,1.0,0.3572727272727273,0.4590909090909091,0.81,0.6363636363636364,0.0,0.3090909090909091,[0.55636364],0.4690909090909091,0.6518181818181819,0.5618181818181818,1.0,0.42818181818181816,0.11545454545454545,0.769090909090909,0.0,0.43636363636363634,0.46545454545454545
0.32,0.568695652173913,0.3417391304347826,0.6669565217391304,0.17217391304347826,0.47043478260869565,1.0,0.5043478260869565,0.5304347826086957,0.5660869565217391,1.0,0.0,0.3095652173913043,0.922608695652174,0.29739130434782607,0.78,0.5304347826086957,0.5573913043478261,0.9565217391304348,0.5408695652173913,0.4226086956521739,0.8434782608695652,0.8739130434782608,0.25217391304347825,1.0,0.34347826086956523,0.43478260869565216,0.5104347826086957,0.6417391304347826,0.4965217391304348,0.11043478260869566,0.6417391304347826,0.6539130434782608,1.0,0.35739130434782607,0.44608695652173913,0.8121739130434783,0.64,0.0,0.30782608695652175,[0.55043478],0.4652173913043478,0.6547826086956522,0.5591304347826087,1.0,0.43043478260869567,0.11478260869565217,0.7704347826086957,0.0,0.43826086956521737,0.46608695652173915
